,stat_month,visit_count,total_amount,avg_amount,reimburse_rate
1,2023-01,173,2751936.53,15907.15,0.5776
4,2023-02,175,2656666.39,15180.95,0.5556
7,2023-03,195,2853462.51,14633.14,0.6014
10,2023-04,193,2666530.34,13816.22,0.5512
13,2023-05,175,2795036.57,15971.64,0.4721
16,2023-06,200,2653476.74,13267.38,0.508
19,2023-07,161,2995890.98,18608.02,0.5581
22,2023-08,175,2603164.44,14875.23,0.4653
25,2023-09,173,2295088.58,13266.41,0.592
28,2023-10,179,2304133.02,12872.25,0.6793
31,2023-11,167,2377090.54,14234.08,0.5782
34,2023-12,185,2403450.23,12991.62,0.6068
37,2024-01,201,2474704.0,12311.96,0.5947
40,2024-02,184,2325705.47,12639.7,0.5807
43,2024-03,202,2835456.43,14036.91,0.5522
46,2024-04,157,2332622.67,14857.47,0.5884
49,2024-05,191,2083822.73,10910.07,0.525
52,2024-06,185,2922344.07,15796.45,0.5171
55,2024-07,192,2854155.87,14865.4,0.4877
58,2024-08,195,3276865.14,16804.44,0.4486
61,2024-09,205,2720857.66,13272.48,0.5623
64,2024-10,197,2613783.35,13267.94,0.6009
67,2024-11,205,2612815.08,12745.44,0.5366
70,2024-12,205,3278334.04,15991.87,0.58
