visit_month,visit_count,total_amount,上月人次,上月费用,人次环比增长率,费用环比增长率
2023-01,424,6041941.18,,,,
2023-02,364,5657242.92,424.0,6041941.18,-14.15,-6.37
2023-03,426,6183233.44,364.0,5657242.92,17.03,9.3
2023-04,404,6168784.899999999,426.0,6183233.44,-5.16,-0.23
2023-05,422,6616413.1,404.0,6168784.899999999,4.46,7.26
2023-06,417,6412876.33,422.0,6616413.1,-1.18,-3.08
2023-07,418,6539840.31,417.0,6412876.33,0.24,1.98
2023-08,429,6013741.77,418.0,6539840.31,2.63,-8.04
2023-09,405,4622880.63,429.0,6013741.77,-5.59,-23.13
2023-10,407,5688438.58,405.0,4622880.63,0.49,23.05
2023-11,397,5359999.49,407.0,5688438.58,-2.46,-5.77
2023-12,427,4918287.52,397.0,5359999.49,7.56,-8.24
2024-01,447,6799734.21,427.0,4918287.52,4.68,38.25
2024-02,417,5569009.33,447.0,6799734.21,-6.71,-18.1
2024-03,425,6394839.35,417.0,5569009.33,1.92,14.83
2024-04,385,6464791.42,425.0,6394839.35,-9.41,1.09
2024-05,415,5213187.18,385.0,6464791.42,7.79,-19.36
2024-06,439,6731377.85,415.0,5213187.18,5.78,29.12
2024-07,416,6386291.13,439.0,6731377.85,-5.24,-5.13
2024-08,415,6976611.05,416.0,6386291.13,-0.24,9.24
2024-09,425,5508375.5200000005,415.0,6976611.05,2.41,-21.05
2024-10,466,6770345.34,425.0,5508375.5200000005,9.65,22.91
2024-11,425,6636540.98,466.0,6770345.34,-8.8,-1.98
2024-12,423,7721847.05,425.0,6636540.98,-0.47,16.35
