,insurance_type,hospital_level,visit_count,reimburse_rate,self_pay_rate,报销率%,自付率%
0,城乡居民,三级乙等,801,0.5326,0.4674,53.26,46.74
1,城乡居民,三级甲等,781,0.5854,0.4146,58.54,41.46
2,城乡居民,二级甲等,424,0.5257,0.4743,52.57,47.43
3,城乡居民,未分级,2027,0.5663,0.4337,56.63,43.37
4,城镇职工,三级乙等,863,0.5649,0.4351,56.49,43.51
5,城镇职工,三级甲等,928,0.5599,0.4401,55.99,44.01
6,城镇职工,二级甲等,480,0.5688,0.4312,56.88,43.12
7,城镇职工,未分级,2199,0.5421,0.4579,54.21,45.79
8,灵活就业,三级乙等,325,0.5804,0.4196,58.04,41.96
9,灵活就业,三级甲等,301,0.5741,0.4259,57.41,42.59
10,灵活就业,二级甲等,141,0.5588,0.4412,55.88,44.12
11,灵活就业,未分级,768,0.549,0.451,54.9,45.1
