age_group,insurance_type,参保人数,就诊人次,次均费用,平均报销率
0-18,城乡居民,81,154,17175.2213,0.5464
0-18,城镇职工,88,193,16839.9739,0.513
0-18,灵活就业,41,90,13668.3903,0.5226
19-35,城乡居民,358,719,15002.1226,0.5745
19-35,城镇职工,394,742,15302.4017,0.5681
19-35,灵活就业,116,235,22318.6857,0.5521
36-55,城乡居民,834,1689,13118.6878,0.5699
36-55,城镇职工,908,1845,13341.1889,0.5601
36-55,灵活就业,301,641,16114.8166,0.5455
56-70,城乡居民,500,959,15244.1907,0.5515
56-70,城镇职工,537,1089,14946.6355,0.5589
56-70,灵活就业,209,400,18780.6874,0.6041
70+,城乡居民,270,509,13276.1122,0.5595
70+,城镇职工,268,591,13787.8431,0.539
70+,灵活就业,85,165,14520.6631,0.5202
未知,城乡居民,3,3,3427.0867,0.5543
未知,城镇职工,4,10,4290.149,0.4952
未知,灵活就业,3,4,5108.5,0.4463
