stat_month,insurance_type,visit_count,total_amount,total_reimburse,avg_amount,reimburse_rate,etl_date
2023-01,城乡居民,172,1964737.1400000001,1086890.09,11422.89,0.5532,2026-07-02
2023-01,城镇职工,173,2751936.53,1589499.46,15907.15,0.5776,2026-07-02
2023-01,灵活就业,79,1325267.51,814274.59,16775.54,0.6144,2026-07-02
2023-02,城乡居民,144,1961809.0,954276.11,13623.67,0.4864,2026-07-02
2023-02,城镇职工,175,2656666.39,1475953.81,15180.95,0.5556,2026-07-02
2023-02,灵活就业,45,1038767.5299999999,604933.1,23083.72,0.5824,2026-07-02
2023-03,城乡居民,169,2089143.87,1122240.37,12361.8,0.5372,2026-07-02
2023-03,城镇职工,195,2853462.51,1716206.16,14633.14,0.6014,2026-07-02
2023-03,灵活就业,62,1240627.06,650801.64,20010.11,0.5246,2026-07-02
2023-04,城乡居民,148,2369673.09,1167574.5,16011.3,0.4927,2026-07-02
2023-04,城镇职工,193,2666530.34,1469916.95,13816.22,0.5512,2026-07-02
2023-04,灵活就业,63,1132581.47,672465.67,17977.48,0.5937,2026-07-02
2023-05,城乡居民,195,3081337.42,1733740.77,15801.73,0.5627,2026-07-02
2023-05,城镇职工,175,2795036.57,1319635.32,15971.64,0.4721,2026-07-02
2023-05,灵活就业,52,740039.11,432706.97,14231.52,0.5847,2026-07-02
2023-06,城乡居民,153,2310287.7399999998,1340997.25,15099.92,0.5804,2026-07-02
2023-06,城镇职工,200,2653476.74,1347910.16,13267.38,0.508,2026-07-02
2023-06,灵活就业,64,1449111.85,791419.0,22642.37,0.5461,2026-07-02
2023-07,城乡居民,190,2681558.87,1641166.62,14113.47,0.612,2026-07-02
2023-07,城镇职工,161,2995890.98,1671896.03,18608.02,0.5581,2026-07-02
2023-07,灵活就业,67,862390.46,348596.20999999996,12871.5,0.4042,2026-07-02
2023-08,城乡居民,183,2287067.63,1493899.8,12497.64,0.6532,2026-07-02
