insurance_type,hospital_level,visit_count,total_amount,total_reimburse,self_pay,reimburse_rate,self_pay_rate,etl_date
城乡居民,三级乙等,801,11867457.54,6321185.17,5546272.37,0.5326,0.4674,2026-07-02
城乡居民,三级甲等,781,10552722.28,6177296.16,4375426.12,0.5854,0.4146,2026-07-02
城乡居民,二级甲等,424,6165446.63,3241230.2800000003,2924216.35,0.5257,0.4743,2026-07-02
城乡居民,未分级,2027,28390348.669999998,16076904.99,12313443.68,0.5663,0.4337,2026-07-02
城镇职工,三级乙等,863,11499904.71,6496033.62,5003871.09,0.5649,0.4351,2026-07-02
城镇职工,三级甲等,928,14028945.92,7854316.25,6174629.67,0.5599,0.4401,2026-07-02
城镇职工,二级甲等,480,5814075.03,3306998.8,2507076.23,0.5688,0.4312,2026-07-02
城镇职工,未分级,2199,32344467.72,17533109.02,14811358.7,0.5421,0.4579,2026-07-02
灵活就业,三级乙等,325,5966816.32,3463122.91,2503693.41,0.5804,0.4196,2026-07-02
灵活就业,三级甲等,301,5152836.899999999,2958209.14,2194627.76,0.5741,0.4259,2026-07-02
灵活就业,二级甲等,141,2054159.19,1147947.94,906211.25,0.5588,0.4412,2026-07-02
灵活就业,未分级,768,13559449.67,7443582.02,6115867.65,0.549,0.451,2026-07-02
