date,total_scans,detected,positive_rate
2026-05-21,138,48,34.8
2026-05-22,142,49,34.5
2026-05-23,144,50,34.7
2026-05-24,146,51,34.9
2026-05-25,147,51,34.7
2026-05-26,145,50,34.5
2026-05-27,148,51,34.5
2026-05-28,148,51,34.5
2026-05-29,149,52,34.9
2026-05-30,149,52,34.9
2026-05-31,148,51,34.5
2026-06-01,149,52,34.9
2026-06-02,146,51,34.9
2026-06-03,149,52,34.9
2026-06-04,149,52,34.9
2026-06-05,149,52,34.9
2026-06-06,149,52,34.9
2026-06-07,149,52,34.9
2026-06-08,149,52,34.9
2026-06-09,149,52,34.9
2026-06-10,149,52,34.9
2026-06-11,149,52,34.9
2026-06-12,149,52,34.9
2026-06-13,149,52,34.9
2026-06-14,149,52,34.9
2026-06-15,149,52,34.9
2026-06-16,149,52,34.9
2026-06-17,149,52,34.9
2026-06-18,149,52,34.9
2026-06-19,149,52,34.9
2026-06-20,149,52,34.9
2026-06-21,149,52,34.9
2026-06-22,149,52,34.9
2026-06-23,149,52,34.9
2026-06-24,149,52,34.9
2026-06-25,149,52,34.9
2026-06-26,149,52,34.9
2026-06-27,149,52,34.9
2026-06-28,149,52,34.9
2026-06-29,149,52,34.9
2026-06-30,149,52,34.9
2026-07-01,149,52,34.9
2026-07-02,149,52,34.9
2026-07-03,149,52,34.9
2026-07-04,149,52,34.9
2026-07-05,149,52,34.9
2026-07-06,149,52,34.9
2026-07-07,149,52,34.9
2026-07-08,149,52,34.9
2026-07-09,149,52,34.9
