epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6418,0.84207,1.88294,1.42213,0.70931,0.77481,0.76215,0.577,0.88418,2.18424,1.31462,0.000415179,0.000415179,0.000415179
2,84.5906,0.58499,1.00354,1.17453,0.77457,0.73697,0.8482,0.73669,0.61335,1.15817,0.92256,0.000815375,0.000815375,0.000815375
3,124.135,0.5524,0.82015,1.14961,0.79031,0.65165,0.8809,0.79412,0.45274,1.11965,0.79893,0.00119907,0.00119907,0.00119907
4,163.09,0.4954,0.7236,1.10135,0.80323,0.85761,0.92342,0.88069,0.32842,0.6868,0.58017,0.00117575,0.00117575,0.00117575
5,202.031,0.4649,0.65261,1.08112,0.82105,0.82943,0.94075,0.8676,0.39896,0.7051,0.61127,0.001151,0.001151,0.001151
6,241.168,0.44062,0.60226,1.06842,0.79228,0.78736,0.91863,0.86296,0.33526,0.78436,0.51616,0.00112625,0.00112625,0.00112625
7,283.031,0.41529,0.57268,1.05152,0.83403,0.88018,0.96443,0.86292,0.46023,0.55138,0.73916,0.0011015,0.0011015,0.0011015
8,322.46,0.38811,0.55247,1.02987,0.92199,0.89585,0.97162,0.921,0.34383,0.41384,0.51599,0.00107675,0.00107675,0.00107675
9,367.419,0.37391,0.5247,1.02669,0.93869,0.96316,0.98851,0.95627,0.32671,0.33789,0.54301,0.001052,0.001052,0.001052
10,408.584,0.37159,0.51829,1.02323,0.93455,0.938,0.98589,0.90179,0.42509,0.42275,0.66652,0.00102725,0.00102725,0.00102725
11,448.287,0.36438,0.48739,1.02031,0.81346,0.90448,0.96335,0.94446,0.26771,0.50294,0.4812,0.0010025,0.0010025,0.0010025
12,487.61,0.3395,0.46737,1.00411,0.96184,0.93356,0.98677,0.93758,0.34121,0.3138,0.50575,0.00097775,0.00097775,0.00097775
13,527.308,0.33768,0.45335,1.00293,0.69486,0.8468,0.93458,0.89185,0.3078,0.93807,0.51344,0.000953,0.000953,0.000953
14,566.593,0.33593,0.44634,1.00127,0.92577,0.9367,0.98625,0.98003,0.22842,0.31086,0.43774,0.00092825,0.00092825,0.00092825
15,605.362,0.32091,0.43146,0.99436,0.95034,0.95602,0.98706,0.94122,0.35379,0.32073,0.51428,0.0009035,0.0009035,0.0009035
16,644.17,0.31912,0.42631,0.99194,0.91552,0.9592,0.98789,0.9741,0.23686,0.31472,0.43542,0.00087875,0.00087875,0.00087875
17,683.337,0.31831,0.42889,0.99088,0.96901,0.9673,0.99138,0.98285,0.20999,0.24519,0.38253,0.000854,0.000854,0.000854
18,723.452,0.29802,0.40984,0.98295,0.93046,0.94198,0.9912,0.97485,0.23586,0.35462,0.44419,0.00082925,0.00082925,0.00082925
19,763.899,0.2968,0.39786,0.97914,0.98048,0.97362,0.99291,0.97829,0.25164,0.23128,0.42811,0.0008045,0.0008045,0.0008045
20,809.798,0.2893,0.39579,0.97499,0.95996,0.97444,0.99149,0.98245,0.23463,0.25924,0.42872,0.00077975,0.00077975,0.00077975
21,849.607,0.28094,0.38651,0.97367,0.9698,0.96946,0.99225,0.96254,0.30027,0.27127,0.49279,0.000755,0.000755,0.000755
22,888.795,0.27486,0.37451,0.96874,0.97167,0.97225,0.99298,0.98454,0.22161,0.22782,0.39813,0.00073025,0.00073025,0.00073025
23,928.53,0.28147,0.37439,0.96813,0.96423,0.97789,0.99346,0.99038,0.1768,0.20933,0.33823,0.0007055,0.0007055,0.0007055
24,968.064,0.26928,0.36392,0.96261,0.96655,0.95406,0.98891,0.96822,0.28759,0.27772,0.42885,0.00068075,0.00068075,0.00068075
25,1007.17,0.26159,0.35565,0.96054,0.97538,0.9759,0.99239,0.97977,0.24636,0.23263,0.39873,0.000656,0.000656,0.000656
26,1046.31,0.25301,0.35522,0.95945,0.98366,0.96034,0.99177,0.98951,0.18204,0.19433,0.34524,0.00063125,0.00063125,0.00063125
